[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run XSS Behavior [ RunTime:0.000420s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --END-- [ RunTime:0.000515s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run CheckRoute Behavior [ RunTime:0.000590s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000617s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000453s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000479s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_template ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000960s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000991s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_parse ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012954s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012993s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_filter ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ContentReplace Behavior [ RunTime:0.000566s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run TokenBuild Behavior [ RunTime:0.000516s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000431s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000519s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002121s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_end ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000835s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000862s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Run SaveConfig Behavior [ RunTime:0.000464s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_end ] --END-- [ RunTime:0.000492s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run XSS Behavior [ RunTime:0.000427s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ app_init ] --END-- [ RunTime:0.000525s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run CheckRoute Behavior [ RunTime:0.000603s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000638s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000482s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000509s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_template ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run LocationTemplate Behavior [ RunTime:0.001085s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001127s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_parse ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run ParseTemplate Behavior [ RunTime:0.012961s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013006s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_filter ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run ContentReplace Behavior [ RunTime:0.000530s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run TokenBuild Behavior [ RunTime:0.000496s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000436s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run ShowRuntime Behavior [ RunTime:0.000527s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002071s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_end ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000606s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000632s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run SaveConfig Behavior [ RunTime:0.000452s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ app_end ] --END-- [ RunTime:0.000479s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run XSS Behavior [ RunTime:0.000438s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_init ] --END-- [ RunTime:0.000533s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run CheckRoute Behavior [ RunTime:0.000596s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ route_check ] --END-- [ RunTime:0.000623s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000439s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000465s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run SaveConfig Behavior [ RunTime:0.000507s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_end ] --END-- [ RunTime:0.000559s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run XSS Behavior [ RunTime:0.000398s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_init ] --END-- [ RunTime:0.000485s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run CheckRoute Behavior [ RunTime:0.000564s ]
