[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Tag[ app_init ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Run XSS Behavior [ RunTime:0.000317s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Tag[ app_init ] --END-- [ RunTime:0.000389s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Tag[ app_begin ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000382s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000426s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Tag[ app_end ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Run SaveConfig Behavior [ RunTime:0.000112s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Tag[ app_end ] --END-- [ RunTime:0.000146s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Run XSS Behavior [ RunTime:0.000235s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --END-- [ RunTime:0.000298s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Run CheckRoute Behavior [ RunTime:0.000391s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000420s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000269s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000306s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_template ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000196s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000229s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_parse ] --START--
