[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Tag[ app_init ] --START--
[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Run XSS Behavior [ RunTime:0.000282s ]
[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Tag[ app_init ] --END-- [ RunTime:0.000402s ]
[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Tag[ app_begin ] --START--
[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000405s ]
[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.016332s ]
[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Tag[ app_end ] --START--
[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Run SaveConfig Behavior [ RunTime:0.000197s ]
[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Tag[ app_end ] --END-- [ RunTime:0.000233s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --START--
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Run XSS Behavior [ RunTime:0.000220s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --END-- [ RunTime:0.000287s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --START--
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Run CheckRoute Behavior [ RunTime:0.000379s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000421s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --START--
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000240s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000266s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_template ] --START--
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000325s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000353s ]
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_parse ] --START--
